City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Sao Filipe,CV,76.48,clear sky,14.8961,-24.4956,Hotel Xaguate
10,Trud,BG,70.02,light rain,42.2333,24.7333,Къща ХВ
12,Rikitea,PF,76.55,overcast clouds,-23.1203,-134.9692,Pension Maro'i
17,Mahebourg,MU,75.49,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
21,Vaini,TO,71.76,scattered clouds,-21.2,-175.2,Keleti Beach Resort
24,Huittinen,FI,74.23,few clouds,61.1833,22.7,Mommolan Motelli
25,Atuona,PF,79.92,broken clouds,-9.8,-139.0333,Villa Enata
34,Avarua,CK,71.65,broken clouds,-21.2078,-159.775,Paradise Inn
40,Saint-Philippe,RE,71.22,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
46,Mogadishu,SO,79.29,overcast clouds,2.0371,45.3438,Hotel Juba
59,Lompoc,US,70.7,overcast clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
61,Moanda,GA,77.0,light rain,-1.5575,13.2178,Heliconia Stadium Moanda
62,Miri,MY,77.14,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
63,Cape Town,ZA,70.21,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
69,Pekan,MY,77.11,overcast clouds,3.4836,103.3996,Pekan Budget Hotel
81,Chapais,CA,73.18,scattered clouds,49.7834,-74.8492,Hôtel Opémiska
90,Korla,CN,75.43,broken clouds,41.7597,86.1469,Gulisitan Hotel
92,Hilo,US,78.24,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
93,Luanda,AO,77.0,clear sky,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
95,Kahului,US,78.8,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
99,Caravelas,BR,79.12,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
105,Valle Del Guamuez,CO,72.82,overcast clouds,0.4525,-76.9192,Hotel Casa Blanca Orito
110,Padang,ID,76.41,broken clouds,-0.9492,100.3543,Mercure Padang
116,Athni,IN,75.74,broken clouds,16.7333,75.0667,Bhawani tea coffee enterprises
125,Castro,BR,73.92,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
126,Daru,PG,76.96,overcast clouds,-9.0763,143.2092,Daru Lodge
127,Komarno,SK,71.76,clear sky,47.7636,18.1226,Hotel Bow Garden
132,Ucar,AZ,73.36,broken clouds,40.519,47.6542,Aşura market
133,Gazanjyk,TM,79.09,clear sky,39.2446,55.5154,Railway motel
137,Acari,PE,76.08,few clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
143,Souillac,MU,75.58,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
149,Meulaboh,ID,75.61,overcast clouds,4.1363,96.1285,Kost Pria
156,Kimbe,PG,75.15,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
161,Lata,PT,79.03,clear sky,40.1629,-8.3327,Casa Maquia
166,Poum,NC,72.63,overcast clouds,-20.2333,164.0167,Gîte kajeon
168,Kupang,ID,75.65,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
169,Saint-Pierre,RE,71.29,light rain,-21.3393,55.4781,Lindsey Hôtel
172,Yenagoa,NG,73.56,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
178,Chake Chake,TZ,77.14,clear sky,-5.2459,39.7666,Hotel Archipelago
184,Minudasht,IR,71.17,scattered clouds,37.2289,55.3747,Esteghlal Hotel Minoudasht
189,Izmit,TR,71.96,clear sky,40.7669,29.9169,Seka Park Hotel
195,Mareeba,AU,71.6,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
202,Perigueux,FR,72.0,clear sky,45.1833,0.7167,Hôtel Mercure Périgueux Centre
204,Jambi,ID,74.3,broken clouds,-1.6,103.6167,ASTON Jambi Hotel & Conference Center
205,Vanimo,PG,77.11,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
206,Guerrero Negro,MX,71.51,broken clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
207,Bengkulu,ID,74.28,few clouds,-3.8004,102.2655,Grage Hotel Bengkulu
210,Wanning,CN,79.65,overcast clouds,18.8003,110.3967,Paradise Hotel
214,Port Hedland,AU,71.65,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
218,Winkler,CA,77.0,broken clouds,49.1817,-97.941,Quality Inn & Suites
222,Loubomo,CG,76.87,scattered clouds,-4.1997,12.6739,La Dolisienne
227,Soyo,AO,76.95,broken clouds,-6.1349,12.3689,Hotel Mpampa
228,Lae,PG,74.71,overcast clouds,-6.7221,146.9847,Phils Hotel
232,Boa Vista,BR,75.18,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
241,Alyangula,AU,71.6,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
245,Sola,VU,75.87,overcast clouds,-13.8833,167.55,Leumerus Bungalows
249,Kudat,MY,76.93,few clouds,6.8837,116.8477,Dream Garden Hotel
259,Nola,IT,77.31,broken clouds,40.922,14.5329,Pamaran Hotel
261,Paka,MY,75.13,overcast clouds,4.6374,103.4368,RUMBIA RESORT VILLA
263,San Jose,US,78.96,few clouds,37.3394,-121.895,The Westin San Jose
274,Faya,SA,75.31,few clouds,18.3851,42.4509,مقبرة ال مجمل
285,Ribeira Grande,PT,70.2,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
288,Ponta Do Sol,PT,71.71,clear sky,32.6667,-17.1,Hotel do Campo
294,Iwai,JP,72.01,overcast clouds,36.05,139.9,Hotel Green core Bando
301,Isangel,VU,70.88,broken clouds,-19.55,169.2667,Tanna Lodge
305,Bambous Virieux,MU,75.45,few clouds,-20.3428,57.7575,Casa Tia Villa
307,Le Port,RE,71.62,light rain,-20.9373,55.2919,KORBEY D'OR OUEST
310,Matara,LK,79.18,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
312,Lardos,GR,74.95,clear sky,36.0942,28.0157,Lindos Princess Beach Hotel
315,Hambantota,LK,79.14,clear sky,6.1241,81.1185,Bungalow 63
320,Karratha,AU,75.24,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
321,Noumea,NC,71.01,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
324,Tezu,IN,73.13,overcast clouds,27.9167,96.1667,Circuit House
325,Ambunti,PG,73.2,overcast clouds,-4.2365,142.8448,Ambunti Lodge
326,Beira,MZ,71.69,light rain,-19.8436,34.8389,Beira Terrace Hotel
336,Keuruu,FI,73.58,broken clouds,62.2667,24.7,Hostelli Nonna
337,Dingle,PH,75.94,light rain,10.9995,122.6711,SEGAYA PROPERTY
343,Asilah,MA,75.16,clear sky,35.465,-6.0348,Hotel Zelis
344,Spalene Porici,CZ,70.48,overcast clouds,49.6137,13.6056,"Hotel ""Pod Kokšínem"""
348,Paita,PE,77.56,overcast clouds,-5.0892,-81.1144,Hotel Náutico de Paita
351,Taveta,KE,71.19,overcast clouds,-3.3963,37.6736,Challa Hotel
354,Haimen,CN,76.89,overcast clouds,23.1935,116.6142,Jinghao Business Hotel
359,San Sebastian,ES,71.15,few clouds,43.3128,-1.975,Hotel de Londres y de Inglaterra
360,Estelle,US,78.8,heavy intensity rain,29.8458,-90.1067,Ohio
363,Broumov,CZ,70.03,few clouds,50.5857,16.3318,Ubytovani na hradbach
367,Morehead,US,76.71,light rain,37.2711,-87.1764,CCI Express Inn
372,Patnongon,PH,78.08,overcast clouds,10.9132,121.9937,La Veneranda Guest House
378,Vila,PT,71.74,scattered clouds,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
381,Namatanai,PG,79.03,light rain,-3.6667,152.4333,Seagulls Inn Namatani
397,Kiunga,PG,73.09,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
403,Grand Gaube,MU,75.6,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
405,Along,IN,72.27,overcast clouds,28.1667,94.7667,Hotel West
416,Barcelona,ES,77.9,few clouds,41.3888,2.1590000000000003,Axel Hotel Barcelona
418,Biak,ID,75.29,overcast clouds,-0.9131,122.8766,Penginapan Kim
422,Peniche,PT,72.88,clear sky,39.3558,-9.3811,Hotel Star inn Peniche
430,Labuhan,ID,78.39,scattered clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
438,Bonaventure,CA,70.39,overcast clouds,48.0457,-65.4926,Riôtel Bonaventure (N° établissement : 1271)
439,Namibe,AO,75.83,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
443,Pangkalanbuun,ID,73.99,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
454,Tura,IN,73.29,moderate rain,25.5198,90.2201,Hotel RIKMAN Continental
456,Tabou,CI,79.84,overcast clouds,4.423,-7.3528,hotêl doufoulougou
459,Gushikawa,JP,75.2,moderate rain,26.3544,127.8686,Kirari Guest House
460,Ferrol,ES,70.05,overcast clouds,43.4832,-8.2369,Carrís Almirante
468,Huarmey,PE,70.27,broken clouds,-10.0681,-78.1522,Hotel Miramar
472,Gua Musang,MY,71.96,overcast clouds,4.8823,101.9644,Mines Inn Hotel
477,Santa,PH,79.59,overcast clouds,17.486,120.4348,Monte Leah Beach Resort
479,Bubaque,GW,79.63,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
480,Sao Jose Da Coroa Grande,BR,78.04,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
482,Lufilufi,WS,74.98,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
485,Morondava,MG,74.64,overcast clouds,-20.2833,44.2833,La Case Bambou
491,Gat,IL,74.8,clear sky,31.61,34.7642,OlusHome
499,Katsuura,JP,70.11,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
500,Kieta,PG,78.13,light rain,-6.2167,155.6333,Uruna Bay Retreat
503,Catamarca,AR,72.5,clear sky,-28.4696,-65.7852,Amerian Catamarca Park Hotel
525,Vao,NC,70.29,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
537,Alanya,TR,75.2,clear sky,36.5438,31.9998,Panorama Hotel
539,Ha Giang,VN,76.21,overcast clouds,22.8333,104.9833,Truong Xuan Ecolodge
542,Muzaffarabad,PK,76.44,clear sky,34.37,73.4711,Pearl Continental Muzaffarabad
547,Kisangani,CD,71.19,overcast clouds,0.5167,25.2,Grand Ramela Hotel
552,Tawau,MY,75.33,overcast clouds,4.2498,117.8871,Shervinton Executive Boutique Hotel
556,Quang Ngai,VN,79.7,overcast clouds,15.1167,108.8,Central Hotel
557,Karaton,ID,78.96,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
564,Ouesso,CG,70.48,overcast clouds,1.6136,16.0517,Hôtel LAVOUMA suite
565,Baculin,PH,76.98,overcast clouds,7.4525,126.5842,Shovy's Cove
569,Sinnamary,GF,76.57,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
571,Lorengau,PG,79.68,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
577,Pringsewu,ID,73.65,overcast clouds,-5.3582,104.9744,Urban Style by Front One
578,Hobyo,SO,79.12,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
582,Praia,CV,78.8,few clouds,14.9215,-23.5087,LT Aparthotel
587,Halifax,CA,78.69,broken clouds,44.6453,-63.5724,Hotel Halifax
592,Rio Novo Do Sul,BR,78.26,overcast clouds,-20.8625,-40.9364,Pousada Três Irmãs
595,Elos,GR,75.18,overcast clouds,36.8327,22.6983,Ξενοδοχείο Όαση/ Oasis Hotel
602,Banda Aceh,ID,79.93,overcast clouds,5.5577,95.3222,Sulthan Hotel International
605,Mankachar,IN,78.76,moderate rain,25.5333,89.8667,Aman mankachar
616,Pontianak,ID,75.18,scattered clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
617,Majene,ID,78.08,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
619,Kerekegyhaza,HU,75.83,clear sky,46.9372,19.4781,Sahara Ferienwohnung
624,Ajdabiya,LY,73.58,clear sky,30.7554,20.2263,Almadina Hotel
648,Neiafu,TO,74.08,few clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
650,Maumere,ID,77.61,overcast clouds,-8.6199,122.2111,Sylvia Hotel
651,Florence,IT,74.88,few clouds,43.7667,11.25,Italiana Hotels Florence
657,Amarkantak,IN,77.59,clear sky,22.6667,81.75,STARiHOTELS Amarkantak Madhya Pradesh
662,Ambilobe,MG,71.82,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
